timestamp,open,high,low,close,volume
1059955200000,0.65122,0.65172,0.64987,0.65046,17856.3501
1059969600000,0.65044,0.65203,0.65021,0.65182,23800.9707
1059984000000,0.65197,0.65212,0.64955,0.65021,45295.3193
1059998400000,0.6503,0.6508,0.64729,0.64772,21339.9199
1060012800000,0.64693,0.64748,0.64316,0.64479,11125.2202
1060027200000,0.64504,0.64727,0.64503,0.64624,13625.98
1060041600000,0.64629,0.64781,0.64538,0.6472,15855.0901
1060056000000,0.64725,0.64752,0.64179,0.64189,21890.6895
1060070400000,0.64199,0.64321,0.64035,0.64135,40018.1191
1060084800000,0.64157,0.64583,0.6415,0.64513,19967.91
1060099200000,0.64532,0.64628,0.64428,0.64491,11172.1702
1060113600000,0.64553,0.64847,0.64496,0.64659,13976.04
1060128000000,0.64742,0.65014,0.64716,0.64917,14953.9998
1060142400000,0.64967,0.65053,0.64849,0.64904,20720.29
1060156800000,0.64914,0.65019,0.64724,0.64784,37529.71
1060171200000,0.64765,0.64858,0.64588,0.6459,20011.2601
1060185600000,0.64598,0.6482,0.64598,0.64793,9772.49
1060200000000,0.64795,0.64812,0.64692,0.64757,11795.6204
1060214400000,0.64785,0.64842,0.64462,0.64515,16422.02
1060228800000,0.64495,0.64712,0.64391,0.64624,24818.6401
1060243200000,0.64658,0.64908,0.64581,0.64818,40415.2295
1060257600000,0.64792,0.6513,0.647,0.65,22976.4932
1060272000000,0.64989,0.65106,0.64964,0.65003,10208.1401
1060286400000,0.64992,0.65176,0.64991,0.65032,11470.4399
1060300800000,0.65025,0.65081,0.64967,0.65044,16347.7495
1060315200000,0.65041,0.65239,0.6499,0.65123,22707.5601
1060329600000,0.65095,0.65139,0.64995,0.65062,40984.7896
1060344000000,0.65064,0.65326,0.64984,0.65297,20479.34
1060358400000,0.65294,0.65347,0.65086,0.65201,10061.6802
1060372800000,0.65191,0.65305,0.65166,0.65209,3274.8899
1060387200000,0.65209,0.65209,0.65209,0.65209,0
1060401600000,0.65209,0.65209,0.65209,0.65209,0
1060416000000,0.65209,0.65209,0.65209,0.65209,0
1060430400000,0.65209,0.65209,0.65209,0.65209,0
1060444800000,0.65209,0.65209,0.65209,0.65209,0
1060459200000,0.65209,0.65209,0.65209,0.65209,0
1060473600000,0.65209,0.65209,0.65209,0.65209,0
1060488000000,0.65209,0.65209,0.65209,0.65209,0
1060502400000,0.65209,0.65209,0.65209,0.65209,0
1060516800000,0.65209,0.65209,0.65209,0.65209,0
1060531200000,0.65209,0.65209,0.65209,0.65209,0
1060545600000,0.65209,0.65251,0.65011,0.65102,6595.4702
1060560000000,0.65093,0.6532,0.64986,0.65271,17178.9702
1060574400000,0.65252,0.65495,0.65209,0.65384,22998.21
1060588800000,0.65408,0.6564,0.65249,0.65551,45392.9395
1060603200000,0.65554,0.6583,0.65533,0.658,24164.7598
1060617600000,0.65798,0.65952,0.65739,0.65815,12055.3396
1060632000000,0.65785,0.65862,0.65639,0.65748,11533.3
1060646400000,0.6574,0.65792,0.65594,0.65745,15372.3501
1060660800000,0.65736,0.65956,0.65671,0.6586,22062.5498
1060675200000,0.65876,0.661,0.65665,0.65741,40883.9902
1060689600000,0.65719,0.65855,0.6561,0.65642,23780.9702
1060704000000,0.65662,0.66042,0.6561,0.65701,12059.0598
1060718400000,0.6571,0.65758,0.65439,0.65552,13354.0701
1060732800000,0.65555,0.65647,0.65373,0.65401,15399.3799
1060747200000,0.654,0.65532,0.65201,0.65243,21377.77
1060761600000,0.65248,0.65555,0.65237,0.65462,37344.4805
1060776000000,0.65445,0.65755,0.65265,0.65696,22216.9697
1060790400000,0.65691,0.65863,0.65649,0.65825,10192.64
1060804800000,0.65796,0.65865,0.65649,0.6578,10733.4402
1060819200000,0.65772,0.65866,0.65676,0.65795,13128.4602
1060833600000,0.658,0.65895,0.65695,0.6583,22461.4199
1060848000000,0.65857,0.65884,0.65553,0.65586,40583.2295
1060862400000,0.65545,0.6582,0.65459,0.65603,28217.8608
1060876800000,0.65565,0.65665,0.65453,0.65579,10353.2101
1060891200000,0.65573,0.65812,0.65529,0.65631,12606.0801
1060905600000,0.6563,0.65746,0.65529,0.65663,15889.0999
1060920000000,0.65674,0.65895,0.65641,0.65809,22121.6396
1060934400000,0.65831,0.65952,0.65722,0.65774,40516.1802
1060948800000,0.65792,0.65949,0.65744,0.65811,17138.6694
1060963200000,0.65775,0.66035,0.65755,0.65874,10438.8499
1060977600000,0.65892,0.65999,0.65801,0.65951,2829.75
1060992000000,0.65951,0.65951,0.65951,0.65951,0
1061006400000,0.65951,0.65951,0.65951,0.65951,0
1061020800000,0.65951,0.65951,0.65951,0.65951,0
1061035200000,0.65951,0.65951,0.65951,0.65951,0
1061049600000,0.65951,0.65951,0.65951,0.65951,0
1061064000000,0.65951,0.65951,0.65951,0.65951,0
1061078400000,0.65951,0.65951,0.65951,0.65951,0
1061092800000,0.65951,0.65951,0.65951,0.65951,0
1061107200000,0.65951,0.65951,0.65951,0.65951,0
1061121600000,0.65951,0.65951,0.65951,0.65951,0
1061136000000,0.65951,0.65951,0.65951,0.65951,0
1061150400000,0.65951,0.66131,0.65947,0.66093,6732.8499
1061164800000,0.6609,0.66175,0.65906,0.66065,16753.0999
1061179200000,0.66037,0.6617,0.65985,0.6612,23075.2397
1061193600000,0.66122,0.66172,0.65836,0.65906,46373.2998
1061208000000,0.65891,0.66003,0.65473,0.65544,26058.4204
1061222400000,0.65536,0.6591,0.65507,0.6578,11736.03
1061236800000,0.65779,0.65862,0.65621,0.65682,11075.91
1061251200000,0.65665,0.65718,0.65362,0.65527,15196.9102
1061265600000,0.65518,0.65562,0.65261,0.65409,21944.1597
1061280000000,0.65428,0.65567,0.65247,0.65296,40818.4302
1061294400000,0.65294,0.65662,0.65197,0.65592,23994.0698
1061308800000,0.65602,0.6565,0.65313,0.65525,11809.7
1061323200000,0.65572,0.6564,0.65444,0.65474,12405.0898
1061337600000,0.65493,0.65567,0.65362,0.65434,15320.76
1061352000000,0.65423,0.65627,0.65379,0.65599,21614.4302
1061366400000,0.65618,0.6569,0.65463,0.65574,38399.8999
1061380800000,0.65564,0.6619,0.65546,0.65895,24163.0601
1061395200000,0.65899,0.66125,0.65807,0.66007,10028.45
1061409600000,0.66012,0.66072,0.65807,0.65843,11635.23
1061424000000,0.65852,0.65945,0.6572,0.65757,15993.7502
1061438400000,0.65748,0.65842,0.65583,0.65704,24965.73
1061452800000,0.65722,0.6596,0.65611,0.65785,41433.7603
1061467200000,0.65799,0.6591,0.65272,0.65394,27424.9956
1061481600000,0.65371,0.65475,0.6506,0.65293,10583.1499
1061496000000,0.65302,0.6546,0.65188,0.65413,11954.5498
1061510400000,0.65402,0.65444,0.64977,0.65087,16179.8401
1061524800000,0.65081,0.65221,0.64946,0.65105,22520.4302
1061539200000,0.65098,0.65205,0.64861,0.64965,42157.1504
1061553600000,0.64952,0.65148,0.64679,0.65092,24934.8901
1061568000000,0.65065,0.65226,0.64876,0.65187,10386.2598
1061582400000,0.65195,0.65272,0.6516,0.6519,3512.03
1061596800000,0.6519,0.6519,0.6519,0.6519,0
1061611200000,0.6519,0.6519,0.6519,0.6519,0
1061625600000,0.6519,0.6519,0.6519,0.6519,0
